ImageId,Label
444,1
445,7
446,8
447,7
448,1
449,2
450,1
451,1
452,0
453,3
454,0
455,1
456,1
457,8
458,2
459,7
460,3
461,9
462,4
463,0
464,5
465,0
466,6
467,1
468,7
469,7
470,8
471,1
472,9
473,7
474,0
475,5
476,1
477,2
478,2
479,7
480,3
481,5
482,4
483,9
484,7
485,1
486,8
487,3
488,7
489,1
490,0
491,3
492,1
493,1
494,2
495,6
496,3
497,5
498,7
499,6
500,8
501,3
502,7
503,8
504,8
505,5
506,7
507,6
508,1
509,1
510,7
511,1
512,7
513,5
514,5
515,5
516,2
517,5
518,8
519,7
520,0
521,9
522,7
523,7
524,5
525,0
526,9
527,0
528,0
529,8
530,9
531,7
532,4
533,8
534,1
535,6
536,1
537,1
538,5
539,1
540,8
541,3
542,4
543,7
544,5
545,5
546,8
547,3
548,1
549,2
550,3
551,9
552,2
553,1
554,1
555,5
556,2
557,1
558,3
559,7
560,8
561,7
562,3
563,7
564,2
565,4
566,6
567,9
568,7
569,2
570,1
571,2
572,8
573,1
574,1
575,7
576,8
577,7
578,0
579,6
580,5
581,9
582,3
583,7
584,9
585,2
586,7
587,7
588,1
589,7
590,9
591,7
592,2
593,6
594,1
595,8
596,9
597,0
598,6
599,6
600,7
601,9
602,9
603,8
604,1
605,1
606,4
607,4
608,6
609,7
610,1
611,5
612,7
613,0
614,3
615,5
616,8
617,4
618,7
619,1
620,2
621,5
622,9
623,5
624,1
625,7
626,6
627,9
628,8
629,8
630,3
631,1
632,7
633,7
634,7
635,7
636,5
637,7
638,1
639,1
640,0
641,7
642,9
643,2
644,3
645,7
646,3
647,7
648,7
649,1
650,6
651,2
652,7
653,5
654,5
655,7
656,4
657,1
658,7
659,6
660,7
661,1
662,4
663,7
664,4
665,2
666,6
667,1
668,0
669,0
670,1
671,3
672,1
673,6
674,2
675,7
676,3
677,1
678,4
679,1
680,5
681,1
682,1
683,1
684,7
685,2
686,8
687,7
688,9
689,2
690,1
691,5
692,1
693,4
694,2
695,8
696,3
697,2
698,4
699,1
700,5
701,1
702,1
703,7
704,7
705,9
706,8
707,4
708,9
709,8
710,0
711,1
712,1
713,7
714,2
715,2
716,3
717,2
718,1
719,7
720,5
721,9
722,1
723,5
724,7
725,7
726,8
727,8
728,9
729,7
730,4
731,7
732,3
733,2
734,7
735,8
736,1
737,8
738,1
739,1
740,1
741,8
742,9
743,7
744,1
745,7
746,1
747,1
748,1
749,5
750,4
751,7
752,5
753,3
754,7
755,1
756,9
757,8
758,5
759,8
760,6
761,3
762,8
763,6
764,9
765,9
766,1
767,8
768,3
769,5
770,8
771,6
772,5
773,9
774,7
775,2
776,5
777,7
778,8
779,7
780,1
781,1
782,1
783,9
784,1
785,8
786,6
787,7
788,0
789,7
790,3
791,0
792,8
793,8
794,9
795,6
796,7
797,8
798,4
799,7
800,5
801,9
802,2
803,6
804,7
805,4
806,5
807,9
808,2
809,7
810,1
811,6
812,3
813,9
814,2
815,2
816,5
817,1
818,8
819,0
820,7
821,7
822,1
823,9
824,8
825,7
826,1
827,9
828,9
829,1
830,6
831,2
832,8
833,5
834,1
835,1
836,1
837,6
838,5
839,7
840,7
841,3
842,6
843,7
844,3
845,2
846,5
847,6
848,4
849,4
850,1
851,1
852,4
853,1
854,7
855,7
856,4
857,3
858,3
859,8
860,0
861,0
862,3
863,2
864,2
865,7
866,8
867,2
868,3
869,7
870,1
871,1
872,1
873,0
874,2
875,3
876,3
877,8
878,4
879,3
880,5
881,7
882,6
883,4
884,7
885,7
886,8
887,5
888,9
889,7
890,0
891,3
892,1
893,1
894,2
895,4
896,3
897,4
898,4
899,7
900,5
901,9
902,1
903,7
904,7
905,7
906,1
907,1
908,2
909,7
910,3
911,6
912,7
913,5
914,8
915,4
916,5
917,5
918,2
919,7
920,1
921,1
922,5
923,1
924,8
925,5
926,8
927,4
928,1
929,7
930,7
931,9
932,2
933,9
934,7
935,7
936,8
937,7
938,4
939,7
940,1
941,9
942,1
943,7
944,1
945,6
946,1
947,2
948,5
949,7
950,7
951,7
952,1
953,7
954,3
955,7
956,1
957,5
958,7
959,6
960,1
961,5
962,1
963,7
964,8
965,5
966,1
967,3
968,1
969,7
970,7
971,5
972,7
973,8
974,1
975,8
976,3
977,8
978,1
979,7
980,1
981,9
982,7
983,1
984,3
985,0
986,5
987,6
988,4
989,1
990,2
991,4
992,4
993,3
994,1
995,7
996,7
997,6
998,1
999,3
1000,6
1001,7
1002,7
1003,1
1004,1
1005,7
1006,9
1007,1
1008,3
1009,4
1010,8
1011,2
1012,2
1013,1
1014,8
1015,7
1016,0
1017,8
1018,1
1019,0
1020,7
1021,6
1022,7
1023,7
1024,7
1025,5
1026,8
1027,8
1028,9
1029,0
1030,0
1031,1
1032,1
1033,8
1034,7
1035,2
1036,3
1037,7
1038,1
1039,9
1040,5
1041,0
1042,6
1043,7
1044,7
1045,1
1046,8
1047,0
1048,2
1049,2
1050,7
1051,1
1052,1
1053,1
1054,7
1055,7
1056,3
1057,9
1058,7
1059,2
1060,8
1061,1
1062,9
1063,5
1064,8
1065,8
1066,1
1067,9
1068,8
1069,3
1070,1
1071,6
1072,5
1073,7
1074,1
1075,2
1076,7
1077,7
1078,3
1079,0
1080,1
1081,7
1082,1
1083,7
1084,9
1085,1
1086,1
1087,8
1088,5
1089,7
1090,5
1091,0
1092,6
1093,1
1094,0
1095,7
1096,1
1097,2
1098,7
1099,1
1100,1
1101,6
1102,8
1103,0
1104,9
1105,5
1106,8
1107,7
1108,1
1109,3
1110,5
1111,7
1112,5
1113,9
1114,6
1115,7
1116,1
1117,9
1118,1
1119,1
1120,3
1121,8
1122,7
1123,9
1124,1
1125,2
1126,7
1127,7
1128,7
1129,0
1130,2
1131,3
1132,1
1133,1
1134,1
1135,8
1136,5
1137,6
1138,7
1139,7
1140,6
1141,7
1142,8
1143,9
1144,2
1145,3
1146,3
1147,6
1148,9
1149,7
1150,1
1151,3
1152,3
1153,0
1154,7
1155,7
1156,1
1157,7
1158,7
1159,3
1160,6
1161,7
1162,9
1163,5
1164,1
1165,4
1166,7
1167,7
1168,9
1169,7
1170,9
1171,8
1172,1
1173,4
1174,9
1175,1
1176,2
1177,4
1178,9
1179,3
1180,0
1181,4
1182,1
1183,1
1184,2
1185,6
1186,3
1187,7
1188,4
1189,2
1190,1
1191,6
1192,7
1193,1
1194,8
1195,9
1196,0
1197,1
1198,1
1199,1
1200,2
1201,1
1202,8
1203,6
1204,4
1205,6
1206,7
1207,5
1208,8
1209,7
1210,0
1211,5
1212,1
1213,4
1214,2
1215,8
1216,4
1217,7
1218,7
1219,3
1220,8
1221,4
1222,9
1223,5
1224,8
1225,6
1226,7
1227,3
1228,4
1229,6
1230,7
1231,1
1232,7
1233,1
1234,3
1235,3
1236,9
1237,8
1238,8
1239,1
1240,8
1241,1
1242,3
1243,1
1244,1
1245,7
1246,5
1247,2
1248,8
1249,1
1250,2
1251,9
1252,7
1253,1
1254,4
1255,8
1256,2
1257,9
1258,1
1259,4
1260,1
1261,7
1262,4
1263,2
1264,5
1265,2
1266,5
1267,6
1268,8
1269,7
1270,6
1271,7
1272,4
1273,9
1274,4
1275,9
1276,4
1277,5
1278,1
1279,6
1280,8
1281,1
1282,7
1283,9
1284,5
1285,9
1286,5
1287,9
1288,1
1289,5
1290,8
1291,3
1292,9
1293,9
1294,1
1295,8
1296,3
1297,8
1298,1
1299,5
1300,2
1301,7
1302,2
1303,7
1304,1
1305,0
1306,9
1307,7
1308,9
1309,4
1310,6
1311,0
1312,5
1313,3
1314,5
1315,7
1316,3
1317,7
1318,3
1319,6
1320,8
1321,3
1322,1
1323,7
1324,6
1325,5
1326,5
1327,7
1328,6
1329,5
1330,8
1331,2
1332,1
1333,7
1334,9
1335,7
1336,7
1337,3
1338,1
1339,7
1340,8
1341,5
1342,5
1343,7
1344,7
1345,8
1346,4
1347,1
1348,7
1349,7
1350,7
1351,1
1352,3
1353,9
1354,7
1355,1
1356,9
1357,5
1358,3
1359,6
1360,0
1361,9
1362,2
1363,8
1364,0
1365,8
1366,1
1367,6
1368,0
1369,0
1370,1
1371,9
1372,0
1373,0
1374,4
1375,2
1376,7
1377,7
1378,0
1379,8
1380,4
1381,7
1382,7
1383,5
1384,9
1385,8
1386,2
1387,0
1388,0
1389,8
1390,1
1391,2
1392,2
1393,7
1394,6
1395,1
1396,2
1397,9
1398,2
1399,6
1400,9
1401,7
1402,9
1403,5
1404,0
1405,8
1406,1
1407,5
1408,2
1409,4
1410,3
1411,7
1412,7
1413,7
1414,5
1415,1
1416,1
1417,7
1418,7
1419,6
1420,8
1421,5
1422,9
1423,7
1424,0
1425,6
1426,1
1427,9
1428,2
1429,3
1430,3
1431,5
1432,4
1433,3
1434,5
1435,8
1436,1
1437,3
1438,7
1439,2
1440,8
1441,4
1442,7
1443,5
1444,0
1445,2
1446,1
1447,9
1448,2
1449,4
1450,3
1451,1
1452,7
1453,1
1454,8
1455,0
1456,7
1457,6
1458,8
1459,1
1460,9
1461,4
1462,1
1463,9
1464,1
1465,8
1466,9
1467,6
1468,5
1469,5
1470,3
1471,3
1472,1
1473,1
1474,1
1475,3
1476,8
1477,7
1478,4
1479,2
1480,0
1481,7
1482,5
1483,5
1484,1
1485,8
1486,5
1487,3
1488,4
1489,6
1490,0
1491,5
1492,7
1493,1
1494,1
1495,6
1496,0
1497,1
1498,7
1499,4
1500,7
1501,9
1502,0
1503,0
1504,1
1505,6
1506,8
1507,6
1508,9
1509,4
1510,5
1511,7
1512,4
1513,1
1514,7
1515,9
1516,1
1517,8
1518,0
1519,9
1520,8
1521,6
1522,1
1523,7
1524,7
1525,8
1526,7
1527,5
1528,1
1529,1
1530,3
1531,0
1532,2
1533,0
1534,3
1535,8
1536,1
1537,6
1538,4
1539,6
1540,2
1541,6
1542,4
1543,8
1544,8
1545,1
1546,4
1547,4
1548,7
1549,1
1550,2
1551,2
1552,3
1553,9
1554,1
1555,1
1556,9
1557,5
1558,1
1559,2
1560,3
1561,9
1562,2
1563,6
1564,2
1565,7
1566,7
1567,3
1568,6
1569,1
1570,9
1571,7
1572,0
1573,1
1574,2
1575,9
1576,5
1577,7
1578,5
1579,7
1580,1
1581,4
1582,3
1583,6
1584,3
1585,2
1586,9
1587,7
1588,5
1589,3
1590,7
1591,0
1592,9
1593,5
1594,8
1595,3
1596,2
1597,0
1598,1
1599,8
1600,3
1601,7
1602,1
1603,2
1604,3
1605,9
1606,0
1607,0
1608,1
1609,7
1610,2
1611,9
1612,3
1613,9
1614,4
1615,7
1616,5
1617,8
1618,1
1619,7
1620,7
1621,9
1622,8
1623,9
1624,9
1625,2
1626,0
1627,7
1628,1
1629,9
1630,2
1631,4
1632,3
1633,9
1634,1
1635,3
1636,5
1637,7
1638,6
1639,5
1640,7
1641,1
1642,8
1643,6
1644,9
1645,3
1646,0
1647,4
1648,1
1649,2
1650,2
1651,5
1652,3
1653,7
1654,4
1655,1
1656,7
1657,7
1658,8
1659,1
1660,9
1661,2
1662,3
1663,7
1664,1
1665,0
1666,1
1667,8
1668,1
1669,3
1670,1
1671,6
1672,1
1673,4
1674,7
1675,9
1676,3
1677,7
1678,3
1679,0
1680,2
1681,1
1682,1
1683,0
1684,7
1685,9
1686,4
1687,6
1688,7
1689,6
1690,3
1691,5
1692,5
1693,4
1694,1
1695,6
1696,9
1697,1
1698,1
1699,3
1700,1
1701,1
1702,0
1703,5
1704,1
1705,1
1706,4
1707,6
1708,6
1709,6
1710,0
1711,1
1712,2
1713,7
1714,8
1715,7
1716,2
1717,7
1718,7
1719,3
1720,7
1721,9
1722,5
1723,3
1724,0
1725,2
1726,0
1727,1
1728,2
1729,9
1730,0
1731,7
1732,6
1733,9
1734,9
1735,1
1736,2
1737,9
1738,3
1739,4
1740,7
1741,9
1742,1
1743,0
1744,9
1745,1
1746,8
1747,7
1748,7
1749,9
1750,8
1751,6
1752,9
1753,5
1754,2
1755,2
1756,2
1757,3
1758,9
1759,7
1760,8
1761,8
1762,6
1763,1
1764,1
1765,4
1766,1
1767,2
1768,1
1769,6
1770,0
1771,7
1772,0
1773,7
1774,8
1775,2
1776,0
1777,8
1778,8
1779,3
1780,1
1781,8
1782,6
1783,1
1784,8
1785,6
1786,5
1787,7
1788,1
1789,8
1790,7
1791,8
1792,3
1793,6
1794,8
1795,9
1796,5
1797,0
1798,0
1799,0
1800,3
1801,2
1802,6
1803,6
1804,7
1805,8
1806,3
1807,5
1808,1
1809,1
1810,3
1811,5
1812,9
1813,1
1814,5
1815,4
1816,1
1817,1
1818,5
1819,1
1820,0
1821,9
1822,7
1823,1
1824,2
1825,5
1826,7
1827,9
1828,4
1829,0
1830,3
1831,6
1832,1
1833,7
1834,7
1835,5
1836,6
1837,3
1838,0
1839,1
1840,1
1841,7
1842,2
1843,1
1844,3
1845,6
1846,4
1847,7
1848,5
1849,7
1850,1
1851,9
1852,7
1853,2
1854,8
1855,7
1856,9
1857,8
1858,0
1859,7
1860,1
1861,1
1862,2
1863,3
1864,3
1865,5
1866,7
1867,1
1868,5
1869,0
1870,6
1871,3
1872,7
1873,3
1874,8
1875,2
1876,7
1877,0
1878,1
1879,7
1880,1
1881,2
1882,2
1883,9
1884,3
1885,9
1886,4
1887,6
1888,5
1889,7
1890,1
1891,6
1892,7
1893,6
1894,8
1895,2
1896,9
1897,2
1898,0
1899,6
1900,7
1901,2
1902,8
1903,1
1904,9
1905,1
1906,9
1907,1
1908,1
1909,3
1910,1
1911,1
1912,4
1913,9
1914,5
1915,8
1916,1
1917,0
1918,1
1919,6
1920,7
1921,8
1922,3
1923,4
1924,2
1925,3
1926,9
1927,0
1928,0
1929,1
1930,5
1931,0
1932,1
1933,4
1934,7
1935,1
1936,3
1937,1
1938,9
1939,3
1940,9
1941,9
1942,3
1943,7
1944,8
1945,7
1946,1
1947,7
1948,2
1949,8
1950,9
1951,9
1952,1
1953,2
1954,7
1955,2
1956,5
1957,0
1958,1
1959,7
1960,3
1961,9
1962,5
1963,9
1964,0
1965,8
1966,5
1967,8
1968,4
1969,7
1970,0
1971,5
1972,3
1973,2
1974,4
1975,8
1976,7
1977,1
1978,1
1979,5
1980,4
1981,1
1982,3
1983,7
1984,7
1985,9
1986,6
1987,6
1988,2
1989,7
1990,1
1991,6
1992,5
1993,1
1994,5
1995,3
1996,0
1997,8
1998,5
1999,2
2000,0
2001,8
2002,8
2003,8
2004,4
2005,2
2006,6
2007,9
2008,7
2009,7
2010,0
2011,2
2012,3
2013,1
2014,8
2015,7
2016,1
2017,8
2018,2
2019,7
2020,2
2021,6
2022,3
2023,2
2024,3
2025,7
2026,1
2027,8
2028,7
2029,5
2030,3
2031,8
2032,4
2033,4
2034,9
2035,4
2036,6
2037,4
2038,5
2039,5
2040,1
2041,1
2042,9
2043,3
2044,8
2045,1
2046,1
2047,1
2048,1
2049,7
2050,5
2051,7
2052,0
2053,9
2054,2
2055,7
2056,7
2057,5
2058,8
2059,0
2060,6
2061,9
2062,1
2063,6
2064,8
2065,7
2066,2
2067,1
2068,8
2069,8
2070,4
2071,8
2072,4
2073,4
2074,2
2075,3
2076,2
2077,3
2078,8
2079,7
2080,0
2081,5
2082,7
2083,0
2084,1
2085,0
2086,2
2087,1
2088,3
2089,3
2090,4
2091,7
2092,5
2093,3
2094,6
2095,1
2096,7
2097,6
2098,8
2099,7
2100,9
2101,0
2102,1
2103,7
2104,1
2105,7
2106,2
2107,1
2108,3
2109,7
2110,4
2111,1
2112,5
2113,0
2114,6
2115,7
2116,7
2117,9
2118,8
2119,7
2120,9
2121,5
2122,1
2123,1
2124,1
2125,8
2126,2
2127,6
2128,3
2129,3
2130,4
2131,3
2132,5
2133,3
2134,7
2135,7
2136,8
2137,1
2138,9
2139,6
2140,8
2141,9
2142,9
2143,7
2144,5
2145,7
2146,7
2147,3
2148,0
2149,1
2150,3
2151,8
2152,1
2153,6
2154,6
2155,1
2156,8
2157,6
2158,4
2159,6
2160,1
2161,7
2162,7
2163,1
2164,6
2165,1
2166,5
2167,1
2168,6
2169,7
2170,1
2171,8
2172,2
2173,5
2174,7
2175,3
2176,8
2177,4
2178,1
2179,6
2180,3
2181,3
2182,4
2183,5
2184,3
2185,1
2186,4
2187,5
2188,7
2189,1
2190,2
2191,4
2192,0
2193,7
2194,5
2195,8
2196,0
2197,6
2198,1
2199,1
2200,9
2201,3
2202,2
2203,1
2204,3
2205,4
2206,2
2207,4
2208,3
2209,8
2210,5
2211,8
2212,5
2213,6
2214,7
2215,6
2216,8
2217,9
2218,1
2219,0
2220,9
2221,1
2222,9
2223,1
2224,7
2225,1
2226,1
2227,6
2228,1
2229,3
2230,7
2231,3
2232,8
2233,3
2234,3
2235,2
2236,1
2237,1
2238,8
2239,7
2240,6
2241,9
2242,3
2243,1
2244,8
2245,7
2246,0
2247,7
2248,9
2249,5
2250,6
2251,6
2252,2
2253,7
2254,0
2255,7
2256,1
2257,4
2258,0
2259,5
2260,6
2261,1
2262,2
2263,6
2264,3
2265,4
2266,8
2267,5
2268,9
2269,5
2270,0
2271,2
2272,7
2273,5
2274,2
2275,7
2276,3
2277,4
2278,1
2279,7
2280,5
2281,2
2282,5
2283,5
2284,2
2285,9
2286,8
2287,7
2288,5
2289,2
2290,1
2291,1
2292,6
2293,7
2294,6
2295,1
2296,6
2297,6
2298,7
2299,0
2300,9
2301,6
2302,1
2303,8
2304,8
2305,5
2306,2
2307,7
2308,1
2309,5
2310,2
2311,7
2312,6
2313,9
2314,5
2315,2
2316,3
2317,1
2318,4
2319,1
2320,7
2321,6
2322,9
2323,2
2324,4
2325,6
2326,0
2327,1
2328,0
2329,5
2330,5
2331,5
2332,9
2333,2
2334,0
2335,1
2336,1
2337,7
2338,2
2339,7
2340,3
2341,0
2342,1
2343,2
2344,5
2345,7
2346,1
2347,2
2348,7
2349,7
2350,8
2351,3
2352,9
2353,0
2354,0
2355,2
2356,1
2357,1
2358,2
2359,8
2360,3
2361,1
2362,4
2363,1
2364,5
2365,7
2366,6
2367,1
2368,7
2369,5
2370,8
2371,9
2372,9
2373,6
2374,0
2375,1
2376,1
2377,7
2378,2
2379,8
2380,3
2381,7
2382,7
2383,8
2384,8
2385,8
2386,9
2387,7
2388,1
2389,8
2390,2
2391,4
2392,7
2393,1
2394,1
2395,8
2396,5
2397,0
2398,1
2399,9
2400,2
2401,8
2402,5
2403,7
2404,0
2405,1
2406,5
2407,1
2408,4
2409,3
2410,2
2411,1
2412,0
2413,5
2414,8
2415,5
2416,1
2417,1
2418,7
2419,2
2420,1
2421,4
2422,8
2423,6
2424,3
2425,4
2426,8
2427,7
2428,7
2429,6
2430,1
2431,3
2432,7
2433,1
2434,7
2435,9
2436,1
2437,7
2438,1
2439,7
2440,1
2441,1
2442,1
2443,8
2444,4
2445,8
2446,5
2447,7
2448,7
2449,7
2450,1
2451,2
2452,4
2453,4
2454,9
2455,2
2456,7
2457,3
2458,2
2459,4
2460,1
2461,9
2462,5
2463,1
2464,3
2465,2
2466,9
2467,4
2468,1
2469,3
2470,3
2471,6
2472,9
2473,2
2474,0
2475,6
2476,8
2477,8
2478,7
2479,5
2480,6
2481,6
2482,3
2483,8
2484,0
2485,4
2486,4
2487,6
2488,6
2489,7
2490,3
2491,4
2492,7
2493,7
2494,7
2495,6
2496,1
2497,6
2498,1
2499,6
2500,2
2501,0
2502,9
2503,7
2504,3
2505,6
2506,1
2507,3
2508,8
2509,2
2510,9
2511,2
2512,8
2513,7
2514,2
2515,9
2516,5
2517,6
2518,2
2519,2
2520,1
2521,4
2522,9
2523,7
2524,6
2525,3
2526,0
2527,0
2528,5
2529,0
2530,3
2531,1
2532,3
2533,0
2534,6
2535,7
2536,3
2537,3
2538,5
2539,7
2540,0
2541,7
2542,3
2543,4
2544,7
2545,5
2546,6
2547,1
2548,1
2549,7
2550,5
2551,7
2552,5
2553,1
2554,9
2555,5
2556,8
2557,1
2558,0
2559,7
2560,9
2561,4
2562,7
2563,9
2564,1
2565,3
2566,2
2567,5
2568,3
2569,8
2570,4
2571,6
2572,5
2573,1
2574,6
2575,7
2576,7
2577,7
2578,8
2579,1
2580,9
2581,7
2582,0
2583,0
2584,1
2585,7
2586,2
2587,0
2588,3
2589,6
2590,4
2591,6
2592,7
2593,5
2594,8
2595,1
2596,7
2597,1
2598,0
2599,8
2600,1
2601,9
2602,2
2603,6
2604,3
2605,1
2606,5
2607,0
2608,6
2609,7
2610,7
2611,8
2612,8
2613,7
2614,9
2615,6
2616,1
2617,1
2618,7
2619,7
2620,1
2621,5
2622,0
2623,8
2624,1
2625,7
2626,2
2627,2
2628,3
2629,8
2630,0
2631,1
2632,6
2633,3
2634,9
2635,7
2636,6
2637,8
2638,6
2639,6
2640,5
2641,9
2642,2
2643,0
2644,9
2645,6
2646,1
2647,5
2648,1
2649,2
2650,9
2651,7
2652,5
2653,3
2654,7
2655,1
2656,5
2657,6
2658,6
2659,7
2660,7
2661,3
2662,3
2663,6
2664,1
2665,2
2666,4
2667,7
2668,1
2669,8
2670,3
2671,2
2672,3
2673,8
2674,7
2675,5
2676,3
2677,7
2678,9
2679,8
2680,8
2681,6
2682,8
2683,8
2684,8
2685,2
2686,8
2687,4
2688,8
2689,1
2690,1
2691,5
2692,7
2693,1
2694,2
2695,2
2696,1
2697,9
2698,9
2699,5
2700,8
2701,2
2702,7
2703,9
2704,9
2705,7
2706,3
2707,7
2708,3
2709,1
2710,7
2711,6
2712,7
2713,9
2714,5
2715,7
2716,1
2717,1
2718,1
2719,1
2720,1
2721,7
2722,2
2723,9
2724,1
2725,1
2726,1
2727,3
2728,5
2729,7
2730,0
2731,1
2732,7
2733,4
2734,2
2735,8
2736,3
2737,0
2738,4
2739,2
2740,5
2741,3
2742,6
2743,4
2744,7
2745,5
2746,0
2747,0
2748,1
2749,2
2750,2
2751,7
2752,3
2753,7
2754,1
2755,7
2756,5
2757,6
2758,6
2759,5
2760,7
2761,3
2762,8
2763,1
2764,9
2765,7
2766,0
2767,7
2768,7
2769,8
2770,2
2771,0
2772,3
2773,4
2774,4
2775,7
2776,5
2777,1
2778,6
2779,7
2780,9
2781,5
2782,8
2783,0
2784,2
2785,1
2786,6
2787,3
2788,9
2789,3
2790,6
2791,2
2792,1
2793,2
2794,9
2795,1
2796,9
2797,3
2798,9
2799,9
2800,4
2801,1
2802,7
2803,7
2804,3
2805,9
2806,8
2807,0
2808,1
2809,1
2810,4
2811,8
2812,1
2813,2
2814,2
2815,7
2816,9
2817,3
2818,0
2819,1
2820,4
2821,3
2822,9
2823,6
2824,1
2825,2
2826,7
2827,7
2828,4
2829,6
2830,4
2831,1
2832,1
2833,4
2834,8
2835,3
2836,7
2837,6
2838,6
2839,2
2840,0
2841,2
2842,8
2843,8
2844,1
2845,7
2846,8
2847,2
2848,7
2849,7
2850,6
2851,1
2852,2
2853,7
2854,1
2855,0
2856,2
2857,7
2858,5
2859,1
2860,1
2861,9
2862,5
2863,6
2864,6
2865,0
2866,7
2867,7
2868,7
2869,5
2870,5
2871,1
2872,3
2873,1
2874,0
2875,4
2876,2
2877,1
2878,2
2879,1
2880,2
2881,6
2882,7
2883,0
2884,3
2885,1
2886,5
2887,3
2888,2
2889,1
2890,1
2891,0
2892,4
2893,2
2894,1
2895,1
2896,3
2897,1
2898,0
2899,1
2900,0
2901,5
2902,8
2903,9
2904,7
2905,7
2906,3
2907,1
2908,1
2909,2
2910,7
2911,6
2912,9
2913,5
2914,6
2915,7
2916,3
2917,5
2918,3
2919,7
2920,0
2921,7
2922,5
2923,4
2924,6
2925,9
2926,6
2927,3
2928,8
2929,1
2930,7
2931,1
2932,3
2933,1
2934,5
2935,9
2936,7
2937,2
2938,1
2939,1
2940,2
2941,8
2942,3
2943,8
2944,4
2945,1
2946,5
2947,5
2948,1
2949,5
2950,7
2951,7
2952,8
2953,0
2954,9
2955,1
2956,7
2957,9
2958,1
2959,8
2960,2
2961,3
2962,3
2963,4
2964,4
2965,3
2966,5
2967,5
2968,1
2969,6
2970,7
2971,1
2972,8
2973,8
2974,9
2975,7
2976,1
2977,2
2978,1
2979,6
2980,2
2981,7
2982,3
2983,7
2984,4
2985,7
2986,7
2987,7
2988,8
2989,1
2990,9
2991,1
2992,8
2993,6
2994,5
2995,1
2996,7
